topic,seed,policy,n,positives,reviewed,metric,status,value,numerator,denominator,requested_depth,censor_lower_bound,censor_reason
C12,11,auto_tar,23149,381,5000,recall_at_1000,OBSERVED,0.8923884514435696,340.0,381.0,1000.0,,
C12,11,auto_tar,23149,381,5000,recall_at_R,OBSERVED,0.6509186351706037,248.0,381.0,381.0,,
C12,11,auto_tar,23149,381,5000,recall_at_2R,OBSERVED,0.8503937007874016,108.0,127.0,762.0,,
C12,11,auto_tar,23149,381,5000,recall_at_1R_plus_0,OBSERVED,0.6509186351706037,248.0,381.0,381.0,,
C12,11,auto_tar,23149,381,5000,recall_at_1R_plus_100,OBSERVED,0.7139107611548556,272.0,381.0,481.0,,
C12,11,auto_tar,23149,381,5000,recall_at_1R_plus_1000,OBSERVED,0.9238845144356955,352.0,381.0,1381.0,,
C12,11,auto_tar,23149,381,5000,recall_at_2R_plus_0,OBSERVED,0.8503937007874016,108.0,127.0,762.0,,
C12,11,auto_tar,23149,381,5000,recall_at_2R_plus_100,OBSERVED,0.8766404199475065,334.0,381.0,862.0,,
C12,11,auto_tar,23149,381,5000,recall_at_2R_plus_1000,OBSERVED,0.931758530183727,355.0,381.0,1762.0,,
C12,11,auto_tar,23149,381,5000,recall_at_4R_plus_0,OBSERVED,0.9238845144356955,352.0,381.0,1524.0,,
C12,11,auto_tar,23149,381,5000,recall_at_4R_plus_100,OBSERVED,0.931758530183727,355.0,381.0,1624.0,,
C12,11,auto_tar,23149,381,5000,recall_at_4R_plus_1000,OBSERVED,0.9396325459317585,358.0,381.0,2524.0,,
C12,11,auto_tar,23149,381,5000,effort_at_75,OBSERVED,562.0,562.0,1.0,,,
C12,11,auto_tar,23149,381,5000,batch_effort_at_75,OBSERVED,631.0,631.0,1.0,,,
C12,11,auto_tar,23149,381,5000,depth_fraction_at_75,OBSERVED,0.02427750658775757,562.0,23149.0,,,
C12,11,auto_tar,23149,381,5000,depth_per_positive_at_75,OBSERVED,1.4750656167979002,562.0,381.0,,,
C12,11,auto_tar,23149,381,5000,effort_at_80,OBSERVED,647.0,647.0,1.0,,,
C12,11,auto_tar,23149,381,5000,batch_effort_at_80,OBSERVED,708.0,708.0,1.0,,,
C12,11,auto_tar,23149,381,5000,depth_fraction_at_80,OBSERVED,0.027949371463130156,647.0,23149.0,,,
