metric,censored_runs,total_runs,censored_policy_pairs,total_policy_pairs,run_censor_topics,pair_censor_topics
recall_at_1000,0,105,0,21,,
recall_at_R,0,105,0,21,,
recall_at_2R,21,105,21,21,C15:21,C15:21
recall_at_1R_plus_0,0,105,0,21,,
recall_at_1R_plus_100,0,105,0,21,,
recall_at_1R_plus_1000,21,105,21,21,C15:21,C15:21
recall_at_2R_plus_0,21,105,21,21,C15:21,C15:21
recall_at_2R_plus_100,21,105,21,21,C15:21,C15:21
recall_at_2R_plus_1000,21,105,21,21,C15:21,C15:21
recall_at_4R_plus_0,42,105,21,21,C15:21; C18:21,C15:21; C18:21
recall_at_4R_plus_100,42,105,21,21,C15:21; C18:21,C15:21; C18:21
recall_at_4R_plus_1000,63,105,21,21,C15:21; C18:21; GCRIM:21,C15:21; C18:21; GCRIM:21
effort_at_75,43,105,18,21,C12:6; C15:12; C16:7; C18:9; GCRIM:9,C12:15; C15:18; C16:15; C18:15; GCRIM:18
batch_effort_at_75,43,105,18,21,C12:6; C15:12; C16:7; C18:9; GCRIM:9,C12:15; C15:18; C16:15; C18:15; GCRIM:18
depth_fraction_at_75,43,105,18,21,C12:6; C15:12; C16:7; C18:9; GCRIM:9,C12:15; C15:18; C16:15; C18:15; GCRIM:18
depth_per_positive_at_75,43,105,18,21,C12:6; C15:12; C16:7; C18:9; GCRIM:9,C12:15; C15:18; C16:15; C18:15; GCRIM:18
effort_at_80,46,105,18,21,C12:7; C15:12; C16:8; C18:9; GCRIM:10,C12:15; C15:18; C16:15; C18:15; GCRIM:18
batch_effort_at_80,46,105,18,21,C12:7; C15:12; C16:8; C18:9; GCRIM:10,C12:15; C15:18; C16:15; C18:15; GCRIM:18
depth_fraction_at_80,46,105,18,21,C12:7; C15:12; C16:8; C18:9; GCRIM:10,C12:15; C15:18; C16:15; C18:15; GCRIM:18
depth_per_positive_at_80,46,105,18,21,C12:7; C15:12; C16:8; C18:9; GCRIM:10,C12:15; C15:18; C16:15; C18:15; GCRIM:18
effort_at_90,58,105,20,21,C12:12; C15:12; C16:10; C18:12; GCRIM:12,C12:18; C15:18; C16:18; C18:18; GCRIM:18
batch_effort_at_90,58,105,20,21,C12:12; C15:12; C16:10; C18:12; GCRIM:12,C12:18; C15:18; C16:18; C18:18; GCRIM:18
depth_fraction_at_90,58,105,20,21,C12:12; C15:12; C16:10; C18:12; GCRIM:12,C12:18; C15:18; C16:18; C18:18; GCRIM:18
depth_per_positive_at_90,58,105,20,21,C12:12; C15:12; C16:10; C18:12; GCRIM:12,C12:18; C15:18; C16:18; C18:18; GCRIM:18
