metric,method_a,method_b,topics_total,censored_topics,status,topics_used,note,nonzero_pairs,mean_difference,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples,analysis_seed,exact_sign_flip_p,wilcoxon_exact_p,minimum_two_sided_p
batch_effort_at_75,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,random,explore_10,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,seed_similarity,frozen_svm,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,seed_similarity,uncertainty,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,seed_similarity,auto_tar,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,seed_similarity,fixed_20,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,seed_similarity,explore_10,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,frozen_svm,uncertainty,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,frozen_svm,auto_tar,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,frozen_svm,fixed_20,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,frozen_svm,explore_10,5,"C12,C15,C16,C18,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,uncertainty,auto_tar,5,"C15,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
batch_effort_at_75,uncertainty,fixed_20,5,"C15,GCRIM",NOT_COMPUTED_CENSORED,0,No inference on a complete-case subset; censored topics listed.,,,,,,,,,
