metric,method_a,method_b,topics_total,censored_topics,topic,status,difference
batch_effort_at_75,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_75,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_75,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_75,random,seed_similarity,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_75,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_75,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_75,random,frozen_svm,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_75,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_75,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_75,random,uncertainty,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_75,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_75,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_75,random,auto_tar,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
batch_effort_at_75,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",C15,CENSORED,CENSORED
batch_effort_at_75,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",C16,CENSORED,CENSORED
batch_effort_at_75,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",C18,CENSORED,CENSORED
batch_effort_at_75,random,fixed_20,5,"C12,C15,C16,C18,GCRIM",GCRIM,CENSORED,CENSORED
batch_effort_at_75,random,explore_10,5,"C12,C15,C16,C18,GCRIM",C12,CENSORED,CENSORED
