topic,policy,metric,status,value,numerator,denominator,seeds_total,seeds_observed,censored_seeds
C12,auto_tar,batch_effort_at_75,OBSERVED,584.3333333333334,1753.0,3.0,3,3,
C12,auto_tar,batch_effort_at_80,OBSERVED,682.3333333333334,2047.0,3.0,3,3,
C12,auto_tar,batch_effort_at_90,OBSERVED,1148.3333333333333,3445.0,3.0,3,3,
C12,auto_tar,depth_fraction_at_75,OBSERVED,0.023024752689101043,533.0,23149.0,3,3,
C12,auto_tar,depth_fraction_at_80,OBSERVED,0.027747778881737153,1927.0,69447.0,3,3,
C12,auto_tar,depth_fraction_at_90,OBSERVED,0.04626549742969459,153.0,3307.0,3,3,
C12,auto_tar,depth_per_positive_at_75,OBSERVED,1.398950131233596,533.0,381.0,3,3,
C12,auto_tar,depth_per_positive_at_80,OBSERVED,1.6859142607174102,1927.0,1143.0,3,3,
C12,auto_tar,depth_per_positive_at_90,OBSERVED,2.811023622047244,357.0,127.0,3,3,
C12,auto_tar,effort_at_75,OBSERVED,533.0,533.0,1.0,3,3,
C12,auto_tar,effort_at_80,OBSERVED,642.3333333333334,1927.0,3.0,3,3,
C12,auto_tar,effort_at_90,OBSERVED,1071.0,1071.0,1.0,3,3,
C12,auto_tar,overshoot_at_75,OBSERVED,51.333333333333336,154.0,3.0,3,3,
C12,auto_tar,overshoot_at_80,OBSERVED,40.0,40.0,1.0,3,3,
C12,auto_tar,overshoot_at_90,OBSERVED,77.33333333333333,232.0,3.0,3,3,
C12,auto_tar,recall_at_1000,OBSERVED,0.8915135608048994,1019.0,1143.0,3,3,
C12,auto_tar,recall_at_1R_plus_0,OBSERVED,0.6544181977252843,748.0,1143.0,3,3,
C12,auto_tar,recall_at_1R_plus_100,OBSERVED,0.7252843394575678,829.0,1143.0,3,3,
C12,auto_tar,recall_at_1R_plus_1000,OBSERVED,0.9230096237970253,1055.0,1143.0,3,3,
C12,auto_tar,recall_at_2R,OBSERVED,0.8486439195100612,970.0,1143.0,3,3,
C12,auto_tar,recall_at_2R_plus_0,OBSERVED,0.8486439195100612,970.0,1143.0,3,3,
C12,auto_tar,recall_at_2R_plus_100,OBSERVED,0.8705161854768154,995.0,1143.0,3,3,
C12,auto_tar,recall_at_2R_plus_1000,OBSERVED,0.931758530183727,355.0,381.0,3,3,
C12,auto_tar,recall_at_4R_plus_0,OBSERVED,0.9256342957130359,1058.0,1143.0,3,3,
C12,auto_tar,recall_at_4R_plus_100,OBSERVED,0.931758530183727,355.0,381.0,3,3,
C12,auto_tar,recall_at_4R_plus_1000,OBSERVED,0.9396325459317585,358.0,381.0,3,3,
C12,auto_tar,recall_at_R,OBSERVED,0.6544181977252843,748.0,1143.0,3,3,
C12,explore_10,batch_effort_at_75,OBSERVED,584.3333333333334,1753.0,3.0,3,3,
C12,explore_10,batch_effort_at_80,OBSERVED,708.0,708.0,1.0,3,3,
