n,positives,reviewed,found_at_20,precision_at_20,recall_at_20,found_at_100,precision_at_100,recall_at_100,found_at_500,precision_at_500,recall_at_500,found_at_1000,precision_at_1000,recall_at_1000,found_at_2000,precision_at_2000,recall_at_2000,found_at_5000,precision_at_5000,recall_at_5000,effort_at_75,wss_at_75,effort_at_90,wss_at_90,topic,seed,policy,seed_doc_id,fits,seconds,batch_effort_at_75,batch_effort_at_90,worker_process_peak_rss_kib
23149,381,23149,2,0.1,0.005249343832020997,4,0.04,0.010498687664041995,8,0.016,0.02099737532808399,13,0.013,0.03412073490813648,29,0.0145,0.07611548556430446,70,0.014,0.1837270341207349,16860,0.021674802367272927,20641,0.00834161302864056,C12,11,random,16008,0,0.04841878099978203,18522,22473,344404
23149,381,23149,14,0.7,0.03674540682414698,51,0.51,0.13385826771653545,149,0.298,0.3910761154855643,208,0.208,0.5459317585301837,267,0.1335,0.7007874015748031,325,0.065,0.8530183727034121,2362,0.6479653548749406,8542,0.5309991792302043,C12,11,seed_similarity,16008,0,0.6763957810007923,2567,9374,344276
23149,381,23149,16,0.8,0.04199475065616798,60,0.6,0.15748031496062992,183,0.366,0.48031496062992124,239,0.239,0.6272965879265092,288,0.144,0.7559055118110236,324,0.0648,0.8503937007874016,1834,0.6707741155125492,7097,0.5934208821115383,C12,11,seed_only_frozen,16008,1,0.700895613999819,1884,7704,344404
23149,381,23149,15,0.75,0.03937007874015748,72,0.72,0.1889763779527559,222,0.444,0.5826771653543307,297,0.297,0.7795275590551181,316,0.158,0.8293963254593176,338,0.0676,0.8871391076115486,889,0.7115966132446326,6068,0.6378720463086959,C12,11,uncertainty,16008,63,4.728888259000087,991,6326,344276
23149,381,23149,17,0.85,0.04461942257217848,82,0.82,0.2152230971128609,281,0.562,0.7375328083989501,339,0.339,0.889763779527559,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,528,0.7271912393623915,1096,0.8526545423128429,C12,11,auto_tar,16008,63,6.1122668190000695,561,1106,344404
23149,381,23149,17,0.85,0.04461942257217848,79,0.79,0.2073490813648294,275,0.55,0.7217847769028871,338,0.338,0.8871391076115486,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,528,0.7271912393623915,1186,0.8487666853859778,C12,11,explore_10,16008,63,5.050789061000614,561,1233,344404
23149,381,23149,16,0.8,0.04199475065616798,84,0.84,0.2204724409448819,283,0.566,0.7427821522309711,341,0.341,0.89501312335958,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,522,0.7274504298241825,1052,0.854555272365977,C12,11,fixed_20,16008,1158,153.22041379599978,541,1061,344276
23149,381,23149,16,0.8,0.04199475065616798,78,0.78,0.2047244094488189,269,0.538,0.7060367454068242,342,0.342,0.8976377952755905,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,551,0.726197675925526,1049,0.8546848675968725,C12,11,fixed_50,16008,463,62.26907555699927,551,1051,344276
23149,381,23149,16,0.8,0.04199475065616798,60,0.6,0.15748031496062992,273,0.546,0.7165354330708661,340,0.34,0.8923884514435696,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,586,0.7246857315650784,1143,0.8506242170288134,C12,11,fixed_100,16008,232,33.159890757999165,601,1201,344276
23149,381,23149,17,0.85,0.04461942257217848,81,0.81,0.2125984251968504,297,0.594,0.7795275590551181,340,0.34,0.8923884514435696,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,453,0.7304311201347791,1051,0.8545984707762755,C12,11,grow_5pct,16008,95,9.174311513001157,472,1059,344276
