topic,seed,policy,delta_recall_at_1000
C12,11,fixed_20,0.005249343832020914
C12,29,fixed_20,0.01049868766404205
C12,47,fixed_20,-0.005249343832021025
C15,11,fixed_20,-0.0007178750897343933
C15,29,fixed_20,0.0
C15,47,fixed_20,-0.0014357501794687866
C16,11,fixed_20,0.0
C16,29,fixed_20,-0.020408163265306145
C16,47,fixed_20,0.0
C18,11,fixed_20,0.002735978112175075
C18,29,fixed_20,0.004103967168262668
C18,47,fixed_20,-0.0006839945280437965
GCRIM,11,fixed_20,0.014121800529567463
GCRIM,29,fixed_20,-0.0061782877316857165
GCRIM,47,fixed_20,-0.0061782877316857165
C12,11,explore_10,-0.007874015748031593
C12,29,explore_10,0.002624671916010457
C12,47,explore_10,-0.015748031496063075
C15,11,explore_10,-0.018186168939937797
C15,29,explore_10,-0.017468293850203404
C15,47,explore_10,-0.01675041876046901
C16,11,explore_10,0.0
C16,29,explore_10,0.0
C16,47,explore_10,0.0
C18,11,explore_10,-0.04035567715458277
C18,29,explore_10,-0.03351573187414503
C18,47,explore_10,-0.04719562243502051
GCRIM,11,explore_10,-0.04236540158870261
GCRIM,29,explore_10,-0.04324801412180046
GCRIM,47,explore_10,-0.04501323918799649
