n,positives,reviewed,found_at_20,precision_at_20,recall_at_20,found_at_100,precision_at_100,recall_at_100,found_at_500,precision_at_500,recall_at_500,found_at_1000,precision_at_1000,recall_at_1000,found_at_2000,precision_at_2000,recall_at_2000,found_at_5000,precision_at_5000,recall_at_5000,effort_at_75,wss_at_75,effort_at_90,wss_at_90,topic,seed,policy,seed_doc_id,fits,seconds,batch_effort_at_75,batch_effort_at_90
23149,381,5000,1,0.05,0.0026246719160104987,6,0.06,0.015748031496062992,9,0.018,0.023622047244094488,20,0.02,0.05249343832020997,39,0.0195,0.10236220472440945,85,0.017,0.2230971128608924,,,,,C12,11,random,5782,0,0.01657657599992035,,
23149,381,5000,19,0.95,0.049868766404199474,74,0.74,0.1942257217847769,149,0.298,0.3910761154855643,200,0.2,0.5249343832020997,261,0.1305,0.6850393700787402,312,0.0624,0.8188976377952756,2904.0,0.6245518164931531,,,C12,11,seed_similarity,5782,0,0.5133590249999997,3145.0,
23149,381,5000,19,0.95,0.049868766404199474,74,0.74,0.1942257217847769,186,0.372,0.4881889763779528,240,0.24,0.6299212598425197,288,0.144,0.7559055118110236,336,0.0672,0.8818897637795275,1965.0,0.6651151237634455,,,C12,11,frozen_svm,5782,1,0.3752519019999454,2090.0,
23149,381,5000,14,0.7,0.03674540682414698,70,0.7,0.1837270341207349,214,0.428,0.5616797900262467,285,0.285,0.7480314960629921,308,0.154,0.8083989501312336,332,0.0664,0.8713910761154856,1033.0,0.7053760421616484,,,C12,11,uncertainty,5782,47,3.106081386000028,1106.0,
23149,381,5000,19,0.95,0.049868766404199474,78,0.78,0.2047244094488189,276,0.552,0.7244094488188977,340,0.34,0.8923884514435696,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,562.0,0.7257224934122424,1105.0,0.8522657566201564,C12,11,auto_tar,5782,47,2.812217872999895,631.0,1106.0
23149,381,5000,19,0.95,0.049868766404199474,78,0.78,0.2047244094488189,286,0.572,0.7506561679790026,342,0.342,0.8976377952755905,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,496.0,0.7285735884919435,1054.0,0.85446887554538,C12,11,fixed_20,5782,250,30.823903746000042,501.0,1061.0
23149,381,5000,19,0.95,0.049868766404199474,78,0.78,0.2047244094488189,276,0.552,0.7244094488188977,337,0.337,0.884514435695538,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,554.0,0.7260680806946305,1182.0,0.8489394790271718,C12,11,explore_10,5782,47,3.1179097689999935,561.0,1233.0
23149,381,5000,1,0.05,0.0026246719160104987,3,0.03,0.007874015748031496,12,0.024,0.031496062992125984,26,0.026,0.06824146981627296,42,0.021,0.11023622047244094,88,0.0176,0.23097112860892388,,,,,C12,29,random,24738,0,0.016164975000037884,,
23149,381,5000,3,0.15,0.007874015748031496,18,0.18,0.047244094488188976,74,0.148,0.1942257217847769,124,0.124,0.32545931758530183,172,0.086,0.45144356955380577,266,0.0532,0.6981627296587927,,,,,C12,29,seed_similarity,24738,0,0.6221410800000058,,
23149,381,5000,3,0.15,0.007874015748031496,16,0.16,0.04199475065616798,65,0.13,0.17060367454068243,112,0.112,0.29396325459317585,187,0.0935,0.49081364829396323,292,0.0584,0.7664041994750657,4716.0,0.5462762970322692,,,C12,29,frozen_svm,24738,1,0.3838691949999884,5000.0,
23149,381,5000,1,0.05,0.0026246719160104987,42,0.42,0.11023622047244094,212,0.424,0.5564304461942258,286,0.286,0.7506561679790026,309,0.1545,0.8110236220472441,335,0.067,0.8792650918635171,979.0,0.7077087563177675,,,C12,29,uncertainty,24738,47,3.3846578949999184,991.0,
23149,381,5000,1,0.05,0.0026246719160104987,42,0.42,0.11023622047244094,283,0.566,0.7427821522309711,336,0.336,0.8818897637795275,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,519.0,0.727580025055078,1108.0,0.8521361613892608,C12,29,auto_tar,24738,47,2.9218996150000294,561.0,1233.0
23149,381,5000,3,0.15,0.007874015748031496,68,0.68,0.1784776902887139,281,0.562,0.7375328083989501,340,0.34,0.8923884514435696,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,521.0,0.7274936282344809,1082.0,0.8532593200570219,C12,29,fixed_20,24738,250,30.746914500000003,521.0,1101.0
23149,381,5000,1,0.05,0.0026246719160104987,46,0.46,0.12073490813648294,270,0.54,0.7086614173228346,337,0.337,0.884514435695538,356,0.178,0.9343832020997376,372,0.0744,0.9763779527559056,562.0,0.7257224934122424,1150.0,0.8503218281567239,C12,29,explore_10,24738,47,3.5765081140000348,631.0,1233.0
23149,381,5000,2,0.1,0.005249343832020997,3,0.03,0.007874015748031496,9,0.018,0.023622047244094488,14,0.014,0.03674540682414698,24,0.012,0.06299212598425197,80,0.016,0.2099737532808399,,,,,C12,47,random,5197,0,0.016367464999916592,,
23149,381,5000,8,0.4,0.02099737532808399,41,0.41,0.10761154855643044,127,0.254,0.3333333333333333,161,0.161,0.4225721784776903,212,0.106,0.5564304461942258,283,0.0566,0.7427821522309711,,,,,C12,47,seed_similarity,5197,0,0.4788991480000959,,
23149,381,5000,7,0.35,0.01837270341207349,32,0.32,0.08398950131233596,118,0.236,0.30971128608923887,163,0.163,0.42782152230971127,205,0.1025,0.5380577427821522,267,0.0534,0.7007874015748031,,,,,C12,47,frozen_svm,5197,1,0.3359495249999327,,
23149,381,5000,14,0.7,0.03674540682414698,66,0.66,0.1732283464566929,221,0.442,0.5800524934383202,279,0.279,0.7322834645669292,309,0.1545,0.8110236220472441,339,0.0678,0.889763779527559,1085.0,0.7031297248261263,,,C12,47,uncertainty,5197,47,3.0798344799999313,1106.0,
23149,381,5000,14,0.7,0.03674540682414698,89,0.89,0.2335958005249344,282,0.564,0.7401574803149606,343,0.343,0.9002624671916011,355,0.1775,0.931758530183727,371,0.0742,0.973753280839895,518.0,0.7276232234653764,1000.0,0.856801589701499,C12,47,auto_tar,5197,47,2.9914377530001275,561.0,1106.0
